"id","group","X1","X2","RCI","abs_RCI","class","weight","X2_adj"
1,"Inconsistent",1.42428471348823,0.0562586540828545,-1.68605082527429,1.68605082527429,"Marginal",0.372293774410573,0.914977128340182
2,"Consistent",0.749203044840754,1.24757758649843,0.61423157949407,0.61423157949407,"Stable",0.619489801031782,1.05794099049157
3,"Consistent",-0.537517062989523,-0.397516210080781,0.172546825378815,0.172546825378815,"Stable",0.852844405319958,-0.41811811884628
4,"Consistent",-0.842885817034939,0.0958160083071187,1.15692166565335,1.15692166565335,"Stable",0.463623698497688,-0.407681404983323
5,"Consistent",0.415419413711854,1.30955830004679,1.1019991884293,1.1019991884293,"Stable",0.475737576638762,0.84079488067532
6,"Biased",-2.37193911644465,-1.40493187059897,1.19180724204405,1.19180724204405,"Stable",0.456244500345484,-1.93074737873333
7,"Consistent",0.594213095224483,1.59205786546369,1.22981356004923,1.22981356004923,"Stable",0.448467987600686,1.04171453127153
8,"Biased",-0.420108199754941,-0.532185281656888,-0.138131620473113,0.138131620473113,"Stable",0.87863299991991,-0.518582822448718
9,"Biased",0.894533203983298,-0.0393465875454454,-1.15097865452827,1.15097865452827,"Stable",0.464904659976418,0.46036813704378
10,"Consistent",-1.09996587994377,-1.66664411829621,-0.698413823969399,0.698413823969399,"Stable",0.58878465653493,-1.43361733187793
11,"Biased",0.508789864984785,1.00489195093214,0.61143084642364,0.61143084642364,"Stable",0.620566499778361,0.816654199993876
12,"Inconsistent",1.49436684020656,1.64491137901792,0.185541599999747,0.185541599999747,"Stable",0.843496339563465,1.62135060763521
13,"Consistent",0.112763317817492,0.382846490809803,0.332869358434821,0.332869358434821,"Stable",0.7502610767302,0.315396209993412
14,"Inconsistent",-0.16706160887566,-1.74003719507152,-1.93864493078049,1.93864493078049,"Marginal",0.340292898106069,-0.702334029752342
15,"Consistent",-0.245343080279061,-1.19807578856974,-1.1742143053748,1.1742143053748,"Stable",0.45993626181556,-0.683539400639692
16,"Biased",1.56468650163799,1.97645227204213,0.50748888315137,0.50748888315137,"Stable",0.663354808898838,1.83783330557551
17,"Inconsistent",-0.748917356020758,-0.388927905390337,0.443676131863511,0.443676131863511,"Stable",0.69267613277584,-0.499561255517979
